16:11:30.598 [main] INFO  testCases.TC_accountRegistration_001 - **** Starting TC001_ACCOUNTREGISTRATIONTEST ****
16:11:30.756 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON MYACCOUNT ****
16:11:31.207 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON REGISTER ****
16:11:31.211 [main] INFO  testCases.TC_accountRegistration_001 - **** PROVIDING USER DETAILS ****
16:11:33.275 [main] ERROR testCases.TC_accountRegistration_001 - test failed...
16:11:33.276 [main] DEBUG testCases.TC_accountRegistration_001 - debug logs
16:12:02.299 [main] INFO  testCases.TC_accountRegistration_001 - **** Starting TC001_ACCOUNTREGISTRATIONTEST ****
16:12:02.478 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON MYACCOUNT ****
16:12:03.078 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON REGISTER ****
16:12:03.080 [main] INFO  testCases.TC_accountRegistration_001 - **** PROVIDING USER DETAILS ****
16:12:05.037 [main] ERROR testCases.TC_accountRegistration_001 - test failed...
16:12:05.037 [main] DEBUG testCases.TC_accountRegistration_001 - debug logs
16:26:38.676 [main] INFO  testCases.TC_accountRegistration_001 - **** Starting TC001_ACCOUNTREGISTRATIONTEST ****
16:26:38.882 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON MYACCOUNT ****
16:26:39.371 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON REGISTER ****
16:26:39.375 [main] INFO  testCases.TC_accountRegistration_001 - **** PROVIDING USER DETAILS ****
16:26:41.606 [main] ERROR testCases.TC_accountRegistration_001 - test failed...
16:26:41.607 [main] DEBUG testCases.TC_accountRegistration_001 - debug logs
16:27:01.409 [main] INFO  testCases.TC_accountRegistration_001 - **** Starting TC001_ACCOUNTREGISTRATIONTEST ****
16:27:01.555 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON MYACCOUNT ****
16:27:02.035 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON REGISTER ****
16:27:02.038 [main] INFO  testCases.TC_accountRegistration_001 - **** PROVIDING USER DETAILS ****
16:27:03.643 [main] INFO  testCases.TC_accountRegistration_001 - **** FINISHED REGISTER ****
16:30:28.483 [main] INFO  testCases.TC_accountRegistration_001 - **** Starting TC001_ACCOUNTREGISTRATIONTEST ****
16:30:28.657 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON MYACCOUNT ****
16:30:29.106 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON REGISTER ****
16:30:29.111 [main] INFO  testCases.TC_accountRegistration_001 - **** PROVIDING USER DETAILS ****
16:30:32.594 [main] INFO  testCases.TC_accountRegistration_001 - **** FINISHED REGISTER ****
16:30:42.641 [main] INFO  testCases.TC_accountRegistration_001 - **** Starting TC001_ACCOUNTREGISTRATIONTEST ****
16:30:42.781 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON MYACCOUNT ****
16:30:43.196 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON REGISTER ****
16:30:43.197 [main] INFO  testCases.TC_accountRegistration_001 - **** PROVIDING USER DETAILS ****
16:30:44.900 [main] INFO  testCases.TC_accountRegistration_001 - **** FINISHED REGISTER ****
16:31:59.481 [TestNG-tests-2] INFO  testCases.TC_accountRegistration_001 - **** Starting TC001_ACCOUNTREGISTRATIONTEST ****
16:31:59.591 [TestNG-tests-1] INFO  testCases.TC_accountRegistration_001 - **** Starting TC001_ACCOUNTREGISTRATIONTEST ****
16:31:59.704 [TestNG-tests-2] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON MYACCOUNT ****
16:32:00.162 [TestNG-tests-2] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON REGISTER ****
16:32:00.165 [TestNG-tests-2] INFO  testCases.TC_accountRegistration_001 - **** PROVIDING USER DETAILS ****
16:55:59.245 [main] INFO  testCases.TC_accountRegistration_001 - **** Starting TC001_ACCOUNTREGISTRATIONTEST ****
16:55:59.414 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON MYACCOUNT ****
16:56:00.112 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON REGISTER ****
16:56:00.117 [main] INFO  testCases.TC_accountRegistration_001 - **** PROVIDING USER DETAILS ****
16:56:02.208 [main] INFO  testCases.TC_accountRegistration_001 - **** FINISHED REGISTER ****
07:06:32.335 [main] INFO  testCases.TC_accountRegistration_001 - **** Starting TC001_ACCOUNTREGISTRATIONTEST ****
07:06:32.570 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON MYACCOUNT ****
07:06:33.347 [main] INFO  testCases.TC_accountRegistration_001 - **** CLICKED ON REGISTER ****
07:06:33.352 [main] INFO  testCases.TC_accountRegistration_001 - **** PROVIDING USER DETAILS ****
07:06:36.080 [main] INFO  testCases.TC_accountRegistration_001 - **** FINISHED REGISTER ****
08:00:37.063 [main] INFO  testCases.TC_002 - *** Starting TC_002 ***
09:22:54.896 [main] INFO  testCases.TC_002 - *** Starting TC_002 ***
09:24:00.307 [main] INFO  testCases.TC_002 - *** Starting TC_002 ***
09:24:36.191 [main] INFO  testCases.TC_002 - *** Starting TC_002 ***
09:24:59.795 [main] INFO  testCases.TC_002 - *** Starting TC_002 ***
09:25:18.085 [main] INFO  testCases.TC_002 - *** Starting TC_002 ***
09:25:18.994 [main] INFO  testCases.TC_002 -  ** finished TC_002 ** 
09:26:01.106 [main] INFO  testCases.TC_002 - *** Starting TC_002 ***
09:29:10.597 [main] INFO  testCases.TC_002 - *** Starting TC_002 ***
09:29:11.737 [main] INFO  testCases.TC_002 -  ** finished TC_002 ** 
10:32:34.810 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
10:32:34.815 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
10:32:34.817 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
10:32:35.194 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
10:32:35.195 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
10:32:35.196 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
10:32:35.213 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
10:32:35.214 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
10:32:35.214 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
10:32:35.235 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
10:32:35.236 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
10:32:35.237 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
10:32:35.254 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
10:32:35.254 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
10:32:35.255 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
10:32:35.270 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
10:32:35.271 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
10:32:35.272 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
10:32:35.285 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
10:32:35.286 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
10:32:35.286 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
10:32:35.298 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
10:32:35.299 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
10:32:35.300 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
10:32:35.312 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
10:32:35.313 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
10:32:35.313 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
10:32:35.328 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
10:32:35.328 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
10:32:35.328 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
10:32:35.342 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
10:32:35.342 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
10:32:35.343 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
10:32:35.353 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
10:32:35.353 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
10:32:35.354 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
10:32:35.364 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
10:32:35.365 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
10:32:35.366 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
10:32:35.375 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
